place_id,business_name,address,google_maps,industry,sub_business,instagram,tiktok,linkedin,website,facebook,email,pic_name,whatsapp_or_phone,price_range
1,Bobopod Paskal,"76A, Jalan HOS. Tjokroaminoto, Bandung, 40171","https://www.google.com/maps?q=-6.9103665,107.5979685",Akomodasi,Hotel,https://www.instagram.com/bobocabin/,https://www.tiktok.com/@bobobox_id,https://www.linkedin.com/company/bobobox-id/mycompany/,https://bobobox.co.id/,,info@bobobox.co.id,,6282119007791,$
2,Caribou Coffee,"B-69, Jl. Paris Van Java Resort, 40161","https://www.google.com/maps?q=-6.8886602,107.5960294",Kuliner,Coffee Shop,,,,http://www.tellcaribouID.com,,caribou.coffee@mahadya.co.id,,+622282063870,$$
3,Hilton Bandung,"41-43, Jalan HOS. Tjokroaminoto, Bandung, 40172","https://www.google.com/maps?q=-6.9126182,107.5974812",Akomodasi,Hotel,,,,https://www.hilton.com/en/hotels/bdohihi-hilton-bandung/,https://www.facebook.com/HiltonBandung,bandung.reservations@hilton.com,,+622286051300,$$$
4,Hotel Neo Kota Baru Parahyangan,"No.01 C No F0, Jl. Parahyangan Raya, Bandung, 40553","https://www.google.com/maps?q=-6.8565759,107.4913885",Akomodasi,Hotel,,,,https://www.neohotels.com/en/hotel/view/20/hotel-neo-kota-baru-parahyangan,facebook.com/NeoKotaBaru,Parahyanganinfo@neohotels.com,,+622221000199,$$$
5,Outlet Amanda Brownies - Pasteur,"117, Jl. Dr. Djunjunan, Bandung","https://www.google.com/maps?q=-6.8950828,107.5880854",Ritel,Minimarket,https://www.instagram.com/amandabrownies,https://www.tiktok.com/@amandabrownies_,https://www.linkedin.com/shareArticle?mini=true&url=https://amandabrownies.co.id/,https://amandabrownies.co.id/,https://www.facebook.com/sharer/sharer.php?u=https://amandabrownies.co.id/,,,https://api.whatsapp.com/send?text=https%3A%2F%2Famandabrownies.co.id%2F,$
6,Atlantic City Hotel Bandung,"126, Jalan Pasir Kaliki, Bandung, 40171","https://www.google.com/maps?q=-6.9069293,107.5979504",Akomodasi,Hotel,,,,http://www.atlanticcityhotelbandung.com,https://www.facebook.com/atlanticcityhotel,info@atlanticcityhotelbandung.com,,6285173228234,$$$
7,BARBAR WINGS,"8, Jalan Boscha, bandung, 40161","https://www.google.com/maps?q=-6.8893865,107.6013508",Kuliner,Restaurant,https://instagram.com/robysujarwoe,,,https://barbarwings.wordpress.com/,https://facebook.com/barbar.wings,robysujarwoe@barbarwings.com,,+6285624478749,$$
8,Balubur Town Square,Jl Tamansari No P-2,"https://www.google.com/maps?q=-6.8987228,107.6084717",Ritel,Ritel Umum,,,,www.bigcinnamon.com,,,,+6282121434141,$$
9,Barbar Wing's,"8, jalan boscha, Bandung, 40161","https://www.google.com/maps?q=-6.898751,107.6030848",Kuliner,Restaurant,https://instagram.com/robysujarwoe,,,https://barbarwings.wordpress.com/,https://facebook.com/barbar.wings,robysujarwoe@barbarwings.com,,+6285624478749,$$
10,Bumi Sangkuriang,"12, Jalan Kiputih, Bandung","https://www.google.com/maps?q=-6.8668218,107.6090526",Kuliner,Restaurant,,,,https://bumi-sangkuriang.business.site/,,,,+62222032661,$$
11,Ethnic 7 vintage,"177, Jalan Cihampelas","https://www.google.com/maps?q=-6.8886489,107.603946",Ritel,Ritel Umum,,,,https://www.tokopedia.com/ethnic7vintage,,ethnic7vintage@gmail.com,,+6282121258617,$$
12,HokBen,"177, Ir. H. Juanda, Bandung, Jawa Barat, 40132","https://www.google.com/maps?q=-6.8854337,107.6134115",Kuliner,Restaurant,,,,,,,,+62222503005,$$
13,Holiday Inn Bandung Pasteur,"96, Jl. Dr. Djunjunan","https://www.google.com/maps?q=-6.8956757,107.5910718",Akomodasi,Hotel,https://www.instagram.com/holidayinn/,,,https://www.ihg.com/holidayinn/hotels/us/en/bandung/bdopa/hoteldetail,https://www.facebook.com/HolidayInn/,rsvn.bdopa@ihg.com,,62222060123,$$$
14,Inara Laundry,"A1, Jalan Somawinata, Bandung Barat, 40552","https://www.google.com/maps?q=-6.8622347,107.5295387",Jasa,Laundry,,,,,,,,+6285185318301,$
15,Junction 8,"81, Jalan Cemara, Bandung","https://www.google.com/maps?q=-6.8840329,107.5973008",Ritel,Minimarket,,,,,,,,+62222033911,$
16,KFC,"160, Jalan Cihampelas, 40131","https://www.google.com/maps?q=-6.8947276,107.6044044",Kuliner,Restaurant,,,,,,,,+62222061060,$$
17,Kapulaga,"3, Jalan Dayang Sumbi, Bandung, 40132","https://www.google.com/maps?q=-6.887513,107.612487",Kuliner,Restaurant,,,,https://www.zomato.com/id/bandung/kapulaga-indonesian-bistro-dago,,,,+62222506195,$$
18,Karnevor.id Bandung,"11, Jalan Bakti, Bandung, 40161","https://www.google.com/maps?q=-6.893035,107.5994491",Kuliner,Restaurant,https://www.instagram.com/https://www.instagram.com/karnevor.id_bandung/,,,https://www.karnevor.web.id/,https://www.facebook.com/https://www.facebook.com/karnevor.id.bandung/,karnevor.id.bandung@gmail.com,,6285158208204,$$$
19,Kuro Coffee,"130, Jalan Ciumbuleuit, 40141","https://www.google.com/maps?q=-6.8711062,107.6056926",Kuliner,Coffee Shop,https://www.instagram.com/kuro.coffee_my,,,https://www.kurocoffee.co/,,,,+62222033406,$$
20,Little Social Space,"2, Jalan Sari Rasa, Sukasari, Bandung, Jawa Barat, 40151","https://www.google.com/maps?q=-6.8815672,107.5788046",Kuliner,Coffee Shop,,,,https://linktr.ee/ssclub,,,,+628886003060,$$
21,Ma'Oin Ayam Bakar Dan Goreng,"216, Jalan Cihampelas, 40133","https://www.google.com/maps?q=-6.8901223,107.6043047",Kuliner,Restaurant,,,,,,,,+6282119716257,$$
22,Mako,"160, Jalan Cihampelas, 40131","https://www.google.com/maps?q=-6.8938924,107.6053462",Kuliner,Bakery,,,,https://www.breadtalk.com/en/,https://www.facebook.com/theicingroom/,breadtalk@johnnyandrean.com,,+62222061097,$
23,Nasi goreng Pacitan,"34, Arah Cimareme","https://www.google.com/maps?q=-6.8653591,107.5029174",Kuliner,Restaurant,,,,,,nugrahazzz@yahoo.com,,+6287722768482,$$
24,Runabiya Cake Shop,"Jl. Nanjung, Kabupaten Bandung, 40217","https://www.google.com/maps?q=-6.9385994,107.5380345",Kuliner,Restaurant,https://www.instagram.com/runabiya,,,https://www.instagram.com/runabiya,,,,+62895616544300,$$
25,SkyScape Cafe & Eatery,"56B, Jl. Terusan Sersan Bajuri No.56B, Bandung Barat, 40559","https://www.google.com/maps?q=-6.8348201,107.5948805",Kuliner,Coffee Shop,https://www.instagram.com/skyscapecafe/,,,https://www.instagram.com/skyscapecafe/,,skyscapecafe@gmail.com,,+628881852959,$$
26,Starbucks,"Jalan Cihampelas, 40131","https://www.google.com/maps?q=-6.8939696,107.6055017",Kuliner,Coffee Shop,,,,,,feedback@starbucks.co.id,,+62222061102,$$
27,Warkop Modjok,"No.111, Jalan Sersan Bajuri, Isola, 40559","https://www.google.com/maps?q=-6.8432539,107.5940792",Kuliner,Coffee Shop,https://www.instagram.com/warkop.modjok,,,https://www.instagram.com/warkop.modjok,https://web.facebook.com/profile.php?id=200966270246760,,,+6282115111896,$$
28,YUZAKARTA,"No.36 RT.01/05, Kampung Cisasawi, 40559","https://www.google.com/maps?q=-6.8544496,107.563974",Ritel,Ritel Umum,,,,http://yuzakarta.com,,yuzakarta@gmail.com,,+628992196004,$$
29,ibis Bandung Pasteur,"22, Dokter Djundjunan","https://www.google.com/maps?q=-6.8998814,107.5960958",Akomodasi,Hotel,https://www.instagram.com/all.accor,,https://www.linkedin.com/company/all-accorlivelimitless/,https://all.accor.com/hotel/9397/index.en.shtml,https://www.facebook.com/ALL/,H9397-RE@accor.com,,10759606,$$$
30,ABI TEKNIK JATAYU,"47, Jalan Komodor Udara Supadio","https://www.google.com/maps?q=-6.9113036,107.5891287",Ritel,Minimarket,https://instagram.com/abiteknik.id,https://tiktok.com/@abiteknik.id,,https://s.id/abiteknik,https://facebook.com/abiteknik.id,,,6281296555775,$
31,ATM BRI,Jalan Sangkuriang (Kompleks LIPI),"https://www.google.com/maps?q=-6.8827937,107.610751",Keuangan,Bank/ATM,,,,,,,,,$
32,ATM Bank Mandiri,Jalan Cisitu Lama,"https://www.google.com/maps?q=-6.8798172,107.6118467",Keuangan,Bank/ATM,,,,,,,,,$
33,ATM Mandiri,"Jl. Ciumbuleuit, Hegarmanah, Cidadap, Bandung","https://www.google.com/maps?q=-6.8756622,107.604257",Keuangan,Bank/ATM,,,,,,,,,$
34,Alfamart,"Jalan Cipageran, 40511","https://www.google.com/maps?q=-6.854351,107.5400417",Ritel,Minimarket,,,,,,,,,$
